vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
0.250000,0.000000,0.000000,0.800000,-0.000000,-0.000000
0.500000,0.000000,0.000000,1.600000,0.000000,0.000000
0.750000,0.000000,0.000000,2.400000,0.000000,0.000000
1.000000,0.000000,0.000000,3.200000,0.000000,0.000000
1.250000,0.000000,0.000000,4.000000,0.000000,0.000000
1.500000,0.000000,0.000001,4.800000,0.000000,0.000000
1.750000,0.000000,0.000001,5.600000,0.000000,0.000000
2.000000,0.000000,0.000002,6.400000,0.000000,0.000000
2.250000,0.000000,0.000003,7.200000,0.000000,0.000000
2.500000,0.000000,0.000005,8.000000,0.000000,0.000000
2.750000,0.000000,0.000007,8.800000,0.000000,0.000000
3.000000,0.000000,0.000010,9.600000,0.000000,0.000000
3.250000,0.000000,0.000013,10.400000,0.000000,0.000000
3.500000,0.000000,0.000018,11.200000,0.000000,0.000000
3.750000,0.000000,0.000024,12.000000,0.000000,0.000000
4.000000,0.000000,0.000031,12.800000,0.000000,0.000000
4.250000,0.000000,0.000039,13.600000,0.000000,0.000000
4.500000,0.000000,0.000049,14.400000,0.000000,0.000000
4.750000,0.000000,0.000061,15.200000,0.000000,0.000000
5.000000,0.000000,0.000075,16.000000,0.000000,0.000000
5.250000,0.000000,0.000091,16.800000,0.000000,0.000000
5.500000,0.000000,0.000109,17.600000,0.000000,0.000000
5.750000,0.000000,0.000131,18.400000,0.000000,0.000000
6.000000,0.000000,0.000155,19.200000,0.000000,0.000000
6.250000,0.000000,0.000182,20.000000,0.000000,0.000000
6.500000,0.000000,0.000213,20.800000,0.000000,0.000000
6.750000,0.000000,0.000248,21.600000,0.000000,0.000000
7.000000,0.000000,0.000287,22.400000,0.000000,0.000000
7.250000,0.000000,0.000330,23.200000,0.000000,0.000000
7.500000,0.000000,0.000378,24.000000,0.000000,0.000000
7.750000,0.000000,0.000431,24.800000,0.000000,0.000000
8.000000,0.000000,0.000490,25.600000,0.000000,0.000000
8.250000,0.000000,0.000554,26.400000,0.000000,0.000000
8.500000,0.000000,0.000624,27.200000,0.000000,0.000000
8.750000,0.000000,0.000701,28.000000,0.000000,0.000000
9.000000,0.000000,0.000784,28.800000,0.000000,0.000000
9.250000,0.000000,0.000875,29.600000,0.000000,0.000000
9.500000,0.000000,0.000974,30.400000,0.000000,0.000000
9.750000,0.000000,0.001080,31.200000,0.000000,0.000000
10.000000,0.000000,0.001195,32.000000,0.000000,0.000000
0.250000,0.100000,0.003547,5.020195,0.809370,-0.759814
0.500000,0.100000,0.000281,9.640611,0.824452,-1.325080
0.750000,0.100000,0.000645,20.046674,0.836582,-1.697725
1.000000,0.100000,0.015725,32.000000,0.865082,-1.965851
1.250000,0.100000,0.000199,38.359468,-0.424391,-0.397100
1.500000,0.100000,0.056132,47.508593,0.081674,-0.060863
1.750000,0.100000,0.045639,13.003183,0.968214,-2.262585
2.000000,0.100000,0.053801,10.170078,0.945907,-0.904655
2.250000,0.100000,0.072957,10.766860,1.039236,-0.713190
2.500000,0.100000,0.000489,12.521124,1.042850,-0.953118
2.750000,0.100000,0.000982,13.286741,1.077887,-0.994941
3.000000,0.100000,0.000296,14.242912,1.104731,-1.057526
3.250000,0.100000,0.020367,14.949771,1.132936,-1.094096
3.500000,0.100000,0.050390,15.707505,1.161149,-1.090066
3.750000,0.100000,0.012801,16.855910,1.173526,-1.205403
4.000000,0.100000,0.012138,17.697648,1.194631,-1.236323
4.250000,0.100000,0.057579,18.597709,1.210878,-1.296296
4.500000,0.100000,0.264393,19.571435,1.221730,-1.370980
4.750000,0.100000,0.121905,20.802682,-0.523599,-1.695515
5.000000,0.100000,0.005694,21.625987,-0.515151,-1.703072
5.250000,0.100000,0.022584,22.269444,-0.461999,-1.667669
5.500000,0.100000,0.000903,23.003362,-0.448981,-1.647445
5.750000,0.100000,0.000743,23.662022,-0.407509,-1.612352
6.000000,0.100000,0.031630,24.449552,-0.400537,-1.597864
6.250000,0.100000,0.000012,25.001959,-0.354110,-1.539026
6.500000,0.100000,0.000907,25.686047,-0.331049,-1.505317
6.750000,0.100000,0.000450,26.329780,-0.307773,-1.459257
7.000000,0.100000,0.000082,27.024192,-0.291162,-1.425985
7.250000,0.100000,0.000873,27.714530,-0.279813,-1.391462
7.500000,0.100000,0.000318,28.392894,-0.261719,-1.352352
7.750000,0.100000,0.000934,29.097255,-0.252049,-1.319992
8.000000,0.100000,0.000006,29.783954,-0.234954,-1.286558
8.250000,0.100000,0.000833,30.486807,-0.227122,-1.255479
8.500000,0.100000,0.000206,31.201870,-0.217603,-1.225398
8.750000,0.100000,0.000884,31.929571,-0.209204,-1.199771
9.000000,0.100000,0.000990,32.647520,-0.203278,-1.171657
9.250000,0.100000,0.000587,33.343951,-0.190328,-1.138895
9.500000,0.100000,0.000139,34.081441,-0.184682,-1.115754
9.750000,0.100000,0.000884,34.797530,-0.176096,-1.088193
10.000000,0.100000,0.000759,35.533886,-0.166103,-1.068685
0.250000,0.200000,0.003552,4.387944,0.809197,-0.587949
0.500000,0.200000,0.000063,9.258751,0.820598,-1.283888
0.750000,0.200000,0.007901,7.178412,0.882830,-1.217413
1.000000,0.200000,0.020851,9.632657,0.891963,-1.724529
1.250000,0.200000,0.050301,11.904549,0.925288,-2.296993
1.500000,0.200000,0.064250,41.131212,0.056009,-0.190703
1.750000,0.200000,0.032142,9.415729,0.952051,-0.799819
