vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
0.250000,0.000000,0.000000,8.000000,-0.000000,0.000000
0.500000,0.000000,0.000001,16.000000,-0.000000,0.000000
0.750000,0.000000,0.000004,24.000000,-0.000000,0.000000
1.000000,0.000000,0.000012,32.000000,-0.000000,0.000000
1.250000,0.000000,0.000030,40.000000,-0.000000,0.000000
1.500000,0.000000,0.000062,48.000000,-0.000000,0.000000
1.750000,0.000000,0.000115,56.000000,-0.000000,0.000000
2.000000,0.000000,0.000196,64.000000,-0.000000,0.000000
2.250000,0.000000,0.000314,72.000000,-0.000000,0.000000
2.500000,0.000000,0.000479,80.000000,-0.000000,0.000000
2.750000,0.000000,0.000701,88.000000,-0.000000,0.000000
3.000000,0.000000,0.000992,96.000000,-0.000000,0.000000
3.250000,0.000000,0.001367,104.000000,-0.000000,0.000000
3.500000,0.000000,0.001839,112.000000,-0.000000,0.000000
3.750000,0.000000,0.002423,120.000000,-0.000000,0.000000
4.000000,0.000000,0.003137,128.000000,-0.000000,0.000000
4.250000,0.000000,0.003998,136.000000,-0.000000,0.000000
4.500000,0.000000,0.005025,144.000000,-0.000000,0.000000
4.750000,0.000000,0.006238,152.000000,-0.000000,0.000000
5.000000,0.000000,0.007658,160.000000,-0.000000,0.000000
5.250000,0.000000,0.009309,168.000000,-0.000000,0.000000
5.500000,0.000000,0.011212,176.000000,-0.000000,0.000000
5.750000,0.000000,0.000049,184.057483,-0.000027,-0.000425
6.000000,0.000000,0.000028,192.063128,-0.000021,-0.000348
6.250000,0.000000,0.000025,200.069174,-0.000020,-0.000352
6.500000,0.000000,0.000023,208.075717,-0.000020,-0.000365
6.750000,0.000000,0.000056,216.084666,-0.000020,-0.000379
7.000000,0.000000,0.000019,224.090049,-0.000020,-0.000392
7.250000,0.000000,0.000013,232.097866,-0.000018,-0.000355
7.500000,0.000000,0.000012,240.106202,-0.000018,-0.000366
7.750000,0.000000,0.000009,248.115014,-0.000016,-0.000352
8.000000,0.000000,0.000022,256.124448,-0.000027,-0.000593
8.250000,0.000000,0.000019,264.134341,-0.000027,-0.000612
8.500000,0.000000,0.000025,272.144846,-0.000033,-0.000778
8.750000,0.000000,0.000023,280.155905,-0.000034,-0.000824
9.000000,0.000000,0.000018,288.167558,-0.000033,-0.000822
9.250000,0.000000,0.000009,296.179810,-0.000027,-0.000688
9.500000,0.000000,0.000004,304.192710,-0.000021,-0.000542
9.750000,0.000000,0.000618,312.218384,-0.000068,-0.001829
10.000000,0.000000,0.000069,320.223984,-0.000064,-0.001758
0.250000,0.100000,0.052114,25.481481,0.122366,-0.003390
0.500000,0.100000,0.178663,38.343756,1.205151,-2.243042
0.750000,0.100000,0.000703,105.958848,1.124768,-4.809861
1.000000,0.100000,0.062170,55.020165,1.221730,-4.606510
