slip_angle [rad],slip_ratio [-],Fx [N],Fy [N],Fz [N],w [rad/s]
-1.5708,-1,-0.315633,0.75306,1,16
-1.5608,-1,-0.317353,0.752562,1,16
-1.5508,-1,-0.319092,0.752053,1,16
-1.5408,-1,-0.320849,0.751535,1,16
-1.5308,-1,-0.322624,0.751007,1,16
-1.5208,-1,-0.324419,0.750468,1,16
-1.5108,-1,-0.326233,0.749918,1,16
-1.5008,-1,-0.328067,0.749358,1,16
-1.4908,-1,-0.32992,0.748786,1,16
-1.4808,-1,-0.331794,0.748203,1,16
-1.4708,-1,-0.333689,0.747609,1,16
-1.4608,-1,-0.335604,0.747002,1,16
-1.4508,-1,-0.33754,0.746383,1,16
-1.4408,-1,-0.339498,0.745751,1,16
-1.4308,-1,-0.341477,0.745106,1,16
-1.4208,-1,-0.343478,0.744448,1,16
-1.4108,-1,-0.345502,0.743777,1,16
-1.4008,-1,-0.347549,0.743091,1,16
-1.3908,-1,-0.349618,0.742392,1,16
-1.3808,-1,-0.351711,0.741678,1,16
-1.3708,-1,-0.353828,0.740948,1,16
-1.3608,-1,-0.355968,0.740204,1,16
-1.3508,-1,-0.358133,0.739444,1,16
-1.3408,-1,-0.360323,0.738667,1,16
-1.3308,-1,-0.362538,0.737874,1,16
-1.3208,-1,-0.364779,0.737065,1,16
-1.3108,-1,-0.367045,0.736238,1,16
-1.3008,-1,-0.369338,0.735393,1,16
-1.2908,-1,-0.371657,0.734529,1,16
-1.2808,-1,-0.374003,0.733647,1,16
-1.2708,-1,-0.376377,0.732746,1,16
-1.2608,-1,-0.378779,0.731825,1,16
-1.2508,-1,-0.381209,0.730884,1,16
-1.2408,-1,-0.383668,0.729921,1,16
-1.2308,-1,-0.386156,0.728938,1,16
-1.2208,-1,-0.388673,0.727933,1,16
-1.2108,-1,-0.39122,0.726905,1,16
-1.2008,-1,-0.393798,0.725854,1,16
-1.1908,-1,-0.396407,0.724779,1,16
-1.1808,-1,-0.399047,0.723681,1,16
-1.1708,-1,-0.401719,0.722557,1,16
-1.1608,-1,-0.404423,0.721407,1,16
-1.1508,-1,-0.407159,0.720231,1,16
-1.1408,-1,-0.409929,0.719028,1,16
-1.1308,-1,-0.412732,0.717797,1,16
-1.1208,-1,-0.41557,0.716538,1,16
-1.1108,-1,-0.418442,0.715249,1,16
-1.1008,-1,-0.421349,0.713931,1,16
-1.0908,-1,-0.424292,0.712581,1,16
-1.0808,-1,-0.42727,0.711199,1,16
-1.0708,-1,-0.430286,0.709785,1,16
-1.0608,-1,-0.433338,0.708337,1,16
-1.0508,-1,-0.436428,0.706854,1,16
-1.0408,-1,-0.439555,0.705336,1,16
-1.0308,-1,-0.442722,0.703781,1,16
-1.0208,-1,-0.445927,0.702189,1,16
-1.0108,-1,-0.449172,0.700558,1,16
-1.0008,-1,-0.452457,0.698888,1,16
-0.990796,-1,-0.455783,0.697176,1,16
-0.980796,-1,-0.459149,0.695423,1,16
-0.970796,-1,-0.462557,0.693626,1,16
-0.960796,-1,-0.466008,0.691785,1,16
-0.950796,-1,-0.4695,0.689898,1,16
-0.940796,-1,-0.473036,0.687965,1,16
-0.930796,-1,-0.476615,0.685983,1,16
-0.920796,-1,-0.480239,0.683951,1,16
-0.910796,-1,-0.483906,0.681868,1,16
-0.900796,-1,-0.487619,0.679732,1,16
-0.890796,-1,-0.491377,0.677542,1,16
-0.880796,-1,-0.495181,0.675297,1,16
-0.870796,-1,-0.499031,0.672994,1,16
-0.860796,-1,-0.502927,0.670632,1,16
-0.850796,-1,-0.506871,0.66821,1,16
-0.840796,-1,-0.510862,0.665725,1,16
-0.830796,-1,-0.514901,0.663176,1,16
-0.820796,-1,-0.518988,0.660561,1,16
-0.810796,-1,-0.523123,0.657878,1,16
-0.800796,-1,-0.527307,0.655125,1,16
-0.790796,-1,-0.53154,0.6523,1,16
-0.780796,-1,-0.535822,0.6494,1,16
-0.770796,-1,-0.540154,0.646425,1,16
-0.760796,-1,-0.544535,0.643372,1,16
-0.750796,-1,-0.548965,0.640238,1,16
-0.740796,-1,-0.553446,0.63702,1,16
-0.730796,-1,-0.557976,0.633718,1,16
-0.720796,-1,-0.562556,0.630328,1,16
-0.710796,-1,-0.567185,0.626848,1,16
-0.700796,-1,-0.571864,0.623276,1,16
-0.690796,-1,-0.576592,0.619608,1,16
-0.680796,-1,-0.581369,0.615842,1,16
-0.670796,-1,-0.586195,0.611975,1,16
-0.660796,-1,-0.591069,0.608006,1,16
-0.650796,-1,-0.595991,0.60393,1,16
-0.640796,-1,-0.60096,0.599745,1,16
-0.630796,-1,-0.605976,0.595447,1,16
-0.620796,-1,-0.611037,0.591035,1,16
-0.610796,-1,-0.616144,0.586505,1,16
-0.600796,-1,-0.621295,0.581854,1,16
-0.590796,-1,-0.626488,0.577078,1,16
-0.580796,-1,-0.631723,0.572175,1,16
-0.570796,-1,-0.636999,0.567142,1,16
-0.560796,-1,-0.642313,0.561974,1,16
-0.550796,-1,-0.647665,0.55667,1,16
-0.540796,-1,-0.653052,0.551225,1,16
-0.530796,-1,-0.658473,0.545636,1,16
-0.520796,-1,-0.663926,0.5399,1,16
-0.510796,-1,-0.669409,0.534014,1,16
-0.500796,-1,-0.674918,0.527974,1,16
-0.490796,-1,-0.680452,0.521777,1,16
-0.480796,-1,-0.686008,0.51542,1,16
-0.470796,-1,-0.691582,0.508899,1,16
-0.460796,-1,-0.697172,0.502211,1,16
-0.450796,-1,-0.702775,0.495353,1,16
-0.440796,-1,-0.708386,0.488322,1,16
-0.430796,-1,-0.714003,0.481115,1,16
-0.420796,-1,-0.719621,0.473729,1,16
-0.410796,-1,-0.725235,0.466162,1,16
-0.400796,-1,-0.730842,0.45841,1,16
-0.390796,-1,-0.736437,0.45047,1,16
-0.380796,-1,-0.742014,0.442342,1,16
-0.370796,-1,-0.74757,0.434021,1,16
-0.360796,-1,-0.753098,0.425507,1,16
-0.350796,-1,-0.758593,0.416798,1,16
-0.340796,-1,-0.764049,0.407892,1,16
-0.330796,-1,-0.76946,0.398787,1,16
-0.320796,-1,-0.77482,0.389483,1,16
-0.310796,-1,-0.780123,0.379978,1,16
-0.300796,-1,-0.785361,0.370274,1,16
-0.290796,-1,-0.790529,0.360368,1,16
-0.280796,-1,-0.795618,0.350262,1,16
-0.270796,-1,-0.800623,0.339957,1,16
-0.260796,-1,-0.805535,0.329453,1,16
-0.250796,-1,-0.810348,0.318751,1,16
-0.240796,-1,-0.815054,0.307855,1,16
-0.230796,-1,-0.819645,0.296765,1,16
-0.220796,-1,-0.824113,0.285486,1,16
-0.210796,-1,-0.828452,0.274019,1,16
-0.200796,-1,-0.832653,0.26237,1,16
-0.190796,-1,-0.836709,0.250541,1,16
-0.180796,-1,-0.840612,0.238539,1,16
-0.170796,-1,-0.844355,0.226368,1,16
-0.160796,-1,-0.847931,0.214034,1,16
-0.150796,-1,-0.851332,0.201544,1,16
-0.140796,-1,-0.854551,0.188904,1,16
-0.130796,-1,-0.857582,0.176121,1,16
-0.120796,-1,-0.860418,0.163204,1,16
-0.110796,-1,-0.863053,0.150161,1,16
-0.100796,-1,-0.865482,0.136999,1,16
-0.0907963,-1,-0.867699,0.12373,1,16
-0.0807963,-1,-0.869698,0.110361,1,16
-0.0707963,-1,-0.871476,0.0969033,1,16
-0.0607963,-1,-0.873028,0.0833666,1,16
-0.0507963,-1,-0.87435,0.0697617,1,16
-0.0407963,-1,-0.87544,0.0560992,1,16
-0.0307963,-1,-0.876295,0.0423903,1,16
-0.0207963,-1,-0.876912,0.0286461,1,16
-0.0107963,-1,-0.877291,0.014878,1,16
-0.000796327,-1,-0.87743,0.00109757,1,16
0.00920367,-1,-0.877329,-0.0126838,1,16
0.0192037,-1,-0.876989,-0.0264546,1,16
0.0292037,-1,-0.876409,-0.0402034,1,16
0.0392037,-1,-0.875592,-0.0539187,1,16
0.0492037,-1,-0.87454,-0.0675893,1,16
0.0592037,-1,-0.873254,-0.0812041,1,16
0.0692037,-1,-0.871738,-0.0947524,1,16
0.0792037,-1,-0.869996,-0.108223,1,16
0.0892037,-1,-0.868032,-0.121607,1,16
0.0992037,-1,-0.86585,-0.134893,1,16
0.109204,-1,-0.863454,-0.148072,1,16
0.119204,-1,-0.860851,-0.161135,1,16
0.129204,-1,-0.858047,-0.174073,1,16
0.139204,-1,-0.855046,-0.186877,1,16
0.149204,-1,-0.851857,-0.199541,1,16
0.159204,-1,-0.848484,-0.212055,1,16
0.169204,-1,-0.844936,-0.224414,1,16
0.179204,-1,-0.841219,-0.236612,1,16
0.189204,-1,-0.837341,-0.248641,1,16
0.199204,-1,-0.833309,-0.260498,1,16
0.209204,-1,-0.829131,-0.272176,1,16
0.219204,-1,-0.824813,-0.283672,1,16
0.229204,-1,-0.820365,-0.294981,1,16
0.239204,-1,-0.815793,-0.306101,1,16
0.249204,-1,-0.811105,-0.317029,1,16
0.259204,-1,-0.806309,-0.327762,1,16
0.269204,-1,-0.801412,-0.338297,1,16
0.279204,-1,-0.796421,-0.348634,1,16
0.289204,-1,-0.791345,-0.358772,1,16
0.299204,-1,-0.786189,-0.368709,1,16
0.309204,-1,-0.780961,-0.378446,1,16
0.319204,-1,-0.775669,-0.387982,1,16
0.329204,-1,-0.770317,-0.397318,1,16
0.339204,-1,-0.764914,-0.406455,1,16
0.349204,-1,-0.759464,-0.415393,1,16
0.359204,-1,-0.753975,-0.424133,1,16
0.369204,-1,-0.748452,-0.432678,1,16
0.379204,-1,-0.742901,-0.441029,1,16
0.389204,-1,-0.737326,-0.449189,1,16
0.399204,-1,-0.731734,-0.457158,1,16
0.409204,-1,-0.726129,-0.46494,1,16
0.419204,-1,-0.720515,-0.472536,1,16
0.429204,-1,-0.714898,-0.479951,1,16
0.439204,-1,-0.709281,-0.487186,1,16
0.449204,-1,-0.703668,-0.494245,1,16
0.459204,-1,-0.698064,-0.50113,1,16
0.469204,-1,-0.692472,-0.507845,1,16
0.479204,-1,-0.686894,-0.514392,1,16
0.489204,-1,-0.681335,-0.520775,1,16
0.499204,-1,-0.675798,-0.526998,1,16
0.509204,-1,-0.670284,-0.533062,1,16
0.519204,-1,-0.664798,-0.538973,1,16
0.529204,-1,-0.65934,-0.544732,1,16
0.539204,-1,-0.653913,-0.550344,1,16
0.549204,-1,-0.648521,-0.555812,1,16
0.559204,-1,-0.643163,-0.561139,1,16
0.569204,-1,-0.637842,-0.566328,1,16
0.579204,-1,-0.632561,-0.571383,1,16
0.589204,-1,-0.627319,-0.576306,1,16
0.599204,-1,-0.622119,-0.581102,1,16
0.609204,-1,-0.616961,-0.585773,1,16
0.619204,-1,-0.611848,-0.590322,1,16
0.629204,-1,-0.606779,-0.594753,1,16
0.639204,-1,-0.601756,-0.599068,1,16
0.649204,-1,-0.596779,-0.60327,1,16
0.659204,-1,-0.59185,-0.607364,1,16
0.669204,-1,-0.586968,-0.61135,1,16
0.679204,-1,-0.582134,-0.615233,1,16
0.689204,-1,-0.577349,-0.619015,1,16
0.699204,-1,-0.572613,-0.622698,1,16
0.709204,-1,-0.567927,-0.626286,1,16
0.719204,-1,-0.563289,-0.62978,1,16
0.729204,-1,-0.558702,-0.633184,1,16
0.739204,-1,-0.554164,-0.6365,1,16
0.749204,-1,-0.549676,-0.639731,1,16
0.759204,-1,-0.545237,-0.642878,1,16
0.769204,-1,-0.540848,-0.645944,1,16
0.779204,-1,-0.536509,-0.648932,1,16
0.789204,-1,-0.532219,-0.651843,1,16
0.799204,-1,-0.527978,-0.65468,1,16
0.809204,-1,-0.523786,-0.657444,1,16
0.819204,-1,-0.519643,-0.660138,1,16
0.829204,-1,-0.515549,-0.662764,1,16
0.839204,-1,-0.511502,-0.665323,1,16
0.849204,-1,-0.507503,-0.667818,1,16
0.859204,-1,-0.503552,-0.670251,1,16
0.869204,-1,-0.499648,-0.672622,1,16
0.879204,-1,-0.495791,-0.674934,1,16
0.889204,-1,-0.49198,-0.677189,1,16
0.899204,-1,-0.488214,-0.679387,1,16
0.909204,-1,-0.484495,-0.681531,1,16
0.919204,-1,-0.48082,-0.683622,1,16
0.929204,-1,-0.477189,-0.685662,1,16
0.939204,-1,-0.473603,-0.687652,1,16
0.949204,-1,-0.470061,-0.689594,1,16
0.959204,-1,-0.466561,-0.691488,1,16
0.969204,-1,-0.463104,-0.693336,1,16
0.979204,-1,-0.459689,-0.69514,1,16
0.989204,-1,-0.456316,-0.6969,1,16
0.999204,-1,-0.452984,-0.698618,1,16
1.0092,-1,-0.449693,-0.700295,1,16
1.0192,-1,-0.446441,-0.701932,1,16
1.0292,-1,-0.44323,-0.70353,1,16
1.0392,-1,-0.440057,-0.705091,1,16
1.0492,-1,-0.436923,-0.706615,1,16
1.0592,-1,-0.433827,-0.708103,1,16
1.0692,-1,-0.430769,-0.709556,1,16
1.0792,-1,-0.427748,-0.710976,1,16
1.0892,-1,-0.424764,-0.712363,1,16
1.0992,-1,-0.421815,-0.713718,1,16
1.1092,-1,-0.418902,-0.715041,1,16
1.1192,-1,-0.416025,-0.716335,1,16
1.1292,-1,-0.413182,-0.717599,1,16
1.1392,-1,-0.410373,-0.718834,1,16
1.1492,-1,-0.407598,-0.720041,1,16
1.1592,-1,-0.404856,-0.721222,1,16
1.1692,-1,-0.402147,-0.722375,1,16
1.1792,-1,-0.39947,-0.723503,1,16
1.1892,-1,-0.396825,-0.724606,1,16
1.1992,-1,-0.394212,-0.725685,1,16
1.2092,-1,-0.391629,-0.726739,1,16
1.2192,-1,-0.389077,-0.727771,1,16
1.2292,-1,-0.386555,-0.728779,1,16
1.2392,-1,-0.384062,-0.729766,1,16
1.2492,-1,-0.381599,-0.730732,1,16
1.2592,-1,-0.379164,-0.731676,1,16
1.2692,-1,-0.376758,-0.732601,1,16
1.2792,-1,-0.37438,-0.733505,1,16
1.2892,-1,-0.372029,-0.73439,1,16
1.2992,-1,-0.369705,-0.735256,1,16
1.3092,-1,-0.367408,-0.736104,1,16
1.3192,-1,-0.365138,-0.736934,1,16
1.3292,-1,-0.362893,-0.737747,1,16
1.3392,-1,-0.360674,-0.738542,1,16
1.3492,-1,-0.35848,-0.739321,1,16
1.3592,-1,-0.356311,-0.740084,1,16
1.3692,-1,-0.354167,-0.740831,1,16
1.3792,-1,-0.352046,-0.741562,1,16
1.3892,-1,-0.34995,-0.742279,1,16
1.3992,-1,-0.347877,-0.742981,1,16
1.4092,-1,-0.345827,-0.743668,1,16
1.4192,-1,-0.343799,-0.744342,1,16
1.4292,-1,-0.341794,-0.745002,1,16
1.4392,-1,-0.339811,-0.745649,1,16
1.4492,-1,-0.33785,-0.746283,1,16
1.4592,-1,-0.335911,-0.746904,1,16
1.4692,-1,-0.333992,-0.747513,1,16
1.4792,-1,-0.332095,-0.748109,1,16
1.4892,-1,-0.330218,-0.748694,1,16
1.4992,-1,-0.328361,-0.749268,1,16
