vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
0.250000,0.000000,56.946784,4000.000000,-0.390724,-0.676839
0.500000,0.000000,46.428583,8000.000000,-0.530160,-2.206981
0.750000,0.000000,25.002024,11999.999721,-0.733704,-5.185166
1.000000,0.000000,13.667201,15999.725129,-0.558497,-4.773154
1.250000,0.000000,5.565828,20000.000000,-0.521995,-5.496113
1.500000,0.000000,3.048076,24000.000000,-0.393730,-4.732510
1.750000,0.000000,2.059322,28000.000000,-0.329673,-4.526749
2.000000,0.000000,1.893586,32000.000000,-0.224757,-3.333333
2.250000,0.000000,0.822044,35852.148148,-0.200677,-3.333333
2.500000,0.000000,0.597886,39987.831123,-0.168228,-3.031550
2.750000,0.000000,0.646720,44000.000000,-0.164837,-2.769325
3.000000,0.000000,0.687450,48000.000000,-0.164837,-2.530618
3.250000,0.000000,0.458609,52000.000000,-0.109891,-2.222222
3.500000,0.000000,0.238415,48410.271605,-0.097268,-2.181070
3.750000,0.000000,0.200354,60000.000000,-0.087892,-2.038413
4.000000,0.000000,0.170198,64000.000000,-0.080156,-1.912175
4.250000,0.000000,0.145638,68000.000000,-0.073701,-1.800612
4.500000,0.000000,0.125188,72000.000000,-0.068250,-1.701329
4.750000,0.000000,0.107846,76000.000000,-0.063600,-1.612417
5.000000,0.000000,0.092918,80000.000000,-0.059598,-1.532338
5.250000,0.000000,0.079915,84000.000000,-0.056126,-1.459844
5.500000,0.000000,0.069371,88000.000000,-0.054946,-1.393542
5.750000,0.000000,0.062664,92000.000000,-0.054946,-1.332741
6.000000,0.000000,0.057793,96000.000000,-0.054946,-1.277029
6.250000,0.000000,0.053796,100000.000000,-0.054946,-1.225813
6.500000,0.000000,0.050240,104000.000000,-0.054946,-1.178567
6.750000,0.000000,0.028078,84047.999954,-0.042735,-1.137126
7.000000,0.000000,0.022551,78881.185185,-0.041379,-1.096703
7.250000,0.000000,0.018511,17382.814815,-0.039904,-1.059148
7.500000,0.000000,0.013441,120000.000000,-0.039138,-1.023872
7.750000,0.000000,0.009879,124000.000000,-0.038348,-0.990924
8.000000,0.000000,0.006919,128000.000000,-0.037757,-0.959996
8.250000,0.000000,0.004540,122228.391957,-0.037374,-0.930901
8.500000,0.000000,0.002694,135441.448560,-0.037238,-0.903465
8.750000,0.000000,0.002484,7179.753086,-0.035527,-0.878086
9.000000,0.000000,0.000840,140352.987654,-0.039683,-0.852766
9.250000,0.000000,0.000628,142563.250114,-0.036291,-0.829904
9.500000,0.000000,0.000979,135156.449322,-0.036517,-0.808566
9.750000,0.000000,0.000891,142557.346136,-0.038552,-0.787228
10.000000,0.000000,0.001019,2072.318244,-0.029671,-0.769752
0.250000,0.100000,56.344951,3950.716049,-0.388689,-0.864198
0.500000,0.100000,44.201787,7999.996661,-0.647020,-3.264671
0.750000,0.100000,25.801086,11999.992488,-0.658160,-5.016004
1.000000,0.100000,13.425688,15970.794696,-0.546499,-5.418381
1.250000,0.100000,10.085438,20000.000000,-0.321014,-4.074074
1.500000,0.100000,4.511378,23112.888889,-0.293116,-4.561805
1.750000,0.100000,3.019081,27655.012346,-0.207748,-4.080171
2.000000,0.100000,2.574334,32000.000000,-0.164837,-3.909465
2.250000,0.100000,3.119570,36000.000000,-0.164837,-3.284298
2.500000,0.100000,3.188802,40000.000000,-0.164837,-2.945913
2.750000,0.100000,3.197964,44000.000000,-0.019119,-2.222222
3.000000,0.100000,1.790094,47802.864197,-0.006966,-2.222222
3.250000,0.100000,0.991998,52000.000000,0.002600,-2.222222
3.500000,0.100000,0.771188,56000.000000,0.011824,-2.171925
3.750000,0.100000,0.764280,60000.000000,0.018315,-2.043896
4.000000,0.100000,0.722457,64000.000000,0.030525,-1.851852
4.250000,0.100000,0.631449,67813.816186,0.037641,-1.796982
4.500000,0.100000,0.610379,72000.000000,0.042735,-1.702484
4.750000,0.100000,0.586423,76000.000000,0.048630,-1.609341
5.000000,0.100000,0.572558,80000.000000,0.052936,-1.529746
5.250000,0.100000,0.581029,84000.000000,0.054946,-1.459569
5.500000,0.100000,0.642694,88000.000000,0.054946,-1.385460
5.750000,0.100000,0.697441,92000.000000,0.054946,-1.321445
6.000000,0.100000,0.742345,96000.000000,0.054946,-1.265051
6.250000,0.100000,0.780682,100000.000000,0.054946,-1.212665
6.500000,0.100000,0.814772,104000.000000,0.054946,-1.164626
6.750000,0.100000,0.846200,108000.000000,0.054946,-1.120256
7.000000,0.100000,0.875997,112000.000000,0.054946,-1.079656
7.250000,0.100000,0.904877,116000.000000,0.054946,-1.041775
7.500000,0.100000,0.933335,120000.000000,0.054946,-1.006505
7.750000,0.100000,0.961731,124000.000000,0.054946,-0.973571
8.000000,0.100000,0.990340,128000.000000,0.054946,-0.942739
8.250000,0.100000,1.019375,132000.000000,0.054946,-0.913807
8.500000,0.100000,1.049005,136000.000000,0.054946,-0.886600
8.750000,0.100000,1.079373,140000.000000,0.054946,-0.860965
9.000000,0.100000,1.110598,144000.000000,0.054946,-0.836763
9.250000,0.100000,1.142783,148000.000000,0.054946,-0.813885
9.500000,0.100000,1.176022,152000.000000,0.054946,-0.792214
9.750000,0.100000,1.210399,156000.000000,0.054946,-0.771660
10.000000,0.100000,1.245990,160000.000000,0.054946,-0.752136
0.250000,0.200000,55.775541,4000.000000,-0.364269,-0.984888
0.500000,0.200000,43.546665,7894.130772,-0.526866,-2.962963
0.750000,0.200000,26.458210,12000.000000,-0.653412,-5.550983
1.000000,0.200000,15.616338,16000.000000,-0.549403,-6.223645
1.250000,0.200000,8.993481,20000.000000,-0.329667,-5.161081
1.500000,0.200000,6.078504,24000.000000,-0.183272,-4.362140
1.750000,0.200000,6.894234,28000.000000,-0.164837,-4.028349
2.000000,0.200000,4.655935,28451.555555,-0.054946,-3.333333
2.250000,0.200000,2.718642,36000.000000,0.004225,-3.292181
2.500000,0.200000,2.298116,40000.000000,0.041102,-2.959287
2.750000,0.200000,2.874814,44000.000000,0.054946,-2.716049
3.000000,0.200000,3.208384,48000.000000,0.054946,-2.416976
3.250000,0.200000,1.929406,52000.000000,0.109399,-2.149063
3.500000,0.200000,1.566857,56000.000000,0.114967,-2.181070
3.750000,0.200000,1.490403,60000.000000,0.127200,-1.975309
4.000000,0.200000,2.215976,64000.000000,0.128206,-1.851852
4.250000,0.200000,1.898529,62973.037037,0.145802,-1.604938
4.500000,0.200000,1.337308,72000.000000,0.146611,-1.696896
4.750000,0.200000,1.309952,75826.593507,0.151620,-1.604938
5.000000,0.200000,1.424512,80000.000000,0.156697,-1.454047
5.250000,0.200000,1.278321,84000.000000,0.159692,-1.440329
5.500000,0.200000,1.283892,88000.000000,0.163124,-1.358025
5.750000,0.200000,1.327761,92000.000000,0.164837,-1.316872
6.000000,0.200000,1.827614,96000.000000,0.164837,-1.234568
6.250000,0.200000,2.098980,99999.999999,0.164837,-1.193416
6.500000,0.200000,2.328663,103999.999999,0.164837,-1.111111
6.750000,0.200000,2.437351,108000.000000,0.164837,-1.088249
7.000000,0.200000,2.545904,111999.999999,0.164837,-1.042524
7.250000,0.200000,2.634449,116000.000000,0.164837,-1.005944
7.500000,0.200000,2.711218,120000.000000,0.164837,-0.969364
7.750000,0.200000,2.779739,124000.000000,0.164837,-0.937118
8.000000,0.200000,2.842826,127999.999999,0.164837,-0.905350
8.250000,0.200000,2.901980,131999.999999,0.164837,-0.877689
8.500000,0.200000,2.958646,135999.999999,0.164837,-0.850480
8.750000,0.200000,3.013613,140000.000000,0.164837,-0.825586
